"","date","Award Reviews","Change of Circ","New Cases"
"1",2020-04-01,1020.33958545043,1020.33958545043,1020.33958545043
"2",2020-05-01,1869.39850193515,1869.39850193515,1869.39850193515
"3",2020-06-01,2167.43140960647,2167.43140960647,2167.43140960647
"4",2020-07-01,1175.69519534467,1175.69519534467,1175.69519534467
"5",2020-08-01,1856.65038407664,1856.65038407664,1856.65038407664
"6",2020-09-01,976.897124567034,976.897124567034,976.897124567034
"7",2020-10-01,2547.26632254013,2547.26632254013,2547.26632254013
"8",2020-11-01,1006.08298063013,1006.08298063013,1006.08298063013
"9",2020-12-01,1360.40114319485,1360.40114319485,1360.40114319485
"10",2021-01-01,1565.58881493279,1565.58881493279,1565.58881493279
"11",2021-02-01,5329.37628388107,2395.03925951533,5838.37584675136
"12",2021-03-01,4541.39637524785,1585.97937094098,5477.71547164439
"13",2021-04-01,5178.0196705594,2201.52268631141,5936.10435776867
"14",2021-05-01,4693.87037154295,1696.29340735384,5576.4924665428
"15",2021-06-01,5106.14214448837,2087.48520035814,5810.53326655355
"16",2021-07-01,4355.90625150963,1316.16932743827,5184.83134511277
"17",2021-08-01,4740.58399780893,1679.76709379645,5542.66059071372
"18",2021-09-01,5381.30285252877,2299.40596857516,6005.15362687781
"19",2021-10-01,4504.06207907529,1401.08521518057,5252.44167058338
"20",2021-11-01,4651.31961076401,1529.65683551429,5223.78625592539
"21",2021-12-01,5607.10292043582,2466.75423383109,6306.35546787905
"22",2022-01-01,4638.5434137677,1479.50881580798,5313.2324391785
"23",2022-02-01,5350.59155000496,2172.87104069024,5546.90435919168
"24",2022-03-01,5046.11586112039,1849.70944045067,5671.67784246633
"25",2022-04-01,4456.29177077435,1241.19943874963,4906.07168285758
"26",2022-05-01,5604.45470983889,2370.67646645918,6180.88964711998
"27",2022-06-01,5345.90099477967,2093.43684004496,5746.60621363165
"28",2022-07-01,5676.59750149268,2405.44743540297,6203.90539470892
"29",2022-08-01,6221.48503696042,2931.64905951572,6724.22940814423
"30",2022-09-01,5562.66116028536,2254.13927148566,5889.75433929046
"31",2022-10-01,5674.27222674271,2347.06442658801,6127.88955386166
"32",2022-11-01,5427.20425186815,2082.01591807099,5706.0861154859
"33",2022-12-01,5248.9534758831,1885.7846084435,5655.16829837811
"34",2023-01-01,4977.55908464725,1596.40968356519,5360.07265483029
"35",2023-02-01,5457.00189208151,2057.871957357,5362.95712824724
"36",2023-03-01,6150.81277943316,2733.7023110662,6485.92384499226
"37",2023-04-01,5689.21287152264,2251.32765756748,5846.17310534535
"38",2023-05-01,5788.24616868979,2331.65268682712,6071.47790422176
"39",2023-06-01,4831.78493511075,1355.91696564404,4938.82741780725
"40",2023-07-01,5668.88633729984,2174.42270362176,5902.2888877274
"41",2023-08-01,5244.49801935955,1730.87594127811,5452.70204849332
"42",2023-09-01,5066.20185002285,1533.47997191531,5098.52052626913
"43",2023-10-01,5731.08127287862,2179.93231171681,5889.89245355288
"44",2023-11-01,5798.82597994045,2228.69230488076,5781.98452045356
"45",2023-12-01,6348.81673380996,2760.36684191414,6458.58811709784
"46",2024-01-01,6664.28325499665,3056.96269835779,6749.2548391893
"47",2024-02-01,5861.61689135016,2235.48330848673,5469.97432498747
"48",2024-03-01,5860.85053815565,2217.77645995516,5898.74927172299
"49",2024-04-01,4974.74107161414,1312.96370199027,4837.47599567606
"50",2024-05-01,5417.86736079631,1738.04535933933,5407.42923727656
"51",2024-06-01,6044.06206615906,2345.6492805855,5858.65558698954
"52",2024-07-01,6039.23264583612,2322.88380290387,5980.73868727649
"53",2024-08-01,6010.19282947153,2275.36509332819,5927.39706146259
"54",2024-09-01,5271.4540478977,1518.20396475792,5013.98269338204
"55",2024-10-01,5829.05001661295,2058.0264253063,5698.61913774355
"56",2024-11-01,5558.52238668681,1769.18741646155,5253.8477295678
"57",2024-12-01,5358.15096098747,1551.1480984724,5180.85278531323
"58",2025-01-01,5377.37258886016,1552.16566708381,5176.36820602832
"59",2025-02-01,5591.0632951653,1747.70657179399,4915.38271082587
"60",2025-03-01,6394.22317379714,2534.52195153079,6148.23907399198
